model,scope,hdd65,in.state,HDD65_x_UA_per_area,ach50_numeric,calculated_shd,wall_area_ft2,net_wall_area_ft2,UA_per_area,duct_leakage_frac,in.duct_location,r_floor,in.geometry_building_type_recs,in.hvac_heating_type_and_fuel,floor_area_m2,in.insulation_wall,ceil_area_ft2,in.geometry_wall_exterior_finish,in.vintage,in.insulation_roof,year_built_numeric,win_area_ft2,in.insulation_ceiling,r_ceiling,in.geometry_attic_type,r_roof,in.windows,r_rim_joist,in.geometry_wall_type,in.roof_material,UA_total,u_win_btu,r_wall,r_slab,r_foundation_wall,in.hvac_has_ducts,is_very_cold
lightgbm,zone_Hot-Humid,0.417189500813175,0.10656903753977981,0.28080991830227303,0.22163453491557067,0.02337124979743141,0.18133860181155945,0.043040606309941165,0.08884957700137411,0.06524143528446344,0.06169196020398439,0.05698382075712517,0.13776799359204542,0.060849883360127525,0.028472690466295504,0.0380860060084407,0.054184658254923065,0.05601624703499976,0.01494050487251174,0.01001314734331816,0.04347164740015785,0.012714122170522233,0.011646438920936492,0.017224049249655596,0.009924349371124248,0.03472862110690632,0.015510498684149335,0.0,0.04960859771372135,0.009914030548481988,0.04966238346492586,0.005873383102679136,0.008515869586193717,0.004945452107944575,0.0,0.00165783677939244,0.0
lightgbm,zone_Marine,0.42230678057790555,0.1900061294678909,0.18001234138720545,0.1805405181329732,0.0922344879717978,0.15791919008538385,0.1074377594989087,0.1032354840639098,0.09353828321249111,0.10707104752780797,0.045728396286839446,0.08857282194326922,0.08604600068243631,0.04878012830377392,0.03491475982101386,0.017797298230298915,0.05720079740789775,0.008834203168065071,0.020818138679888226,0.06276304829663887,0.024635768219767328,0.007609288914399324,0.02040373181508852,0.0031730169754124625,0.03424664332111043,0.014855842344985219,0.00029967032594602834,0.002770330712936638,0.0054043116994801,0.046876943571510475,0.005895122751732026,0.021556319454394533,0.004862740280536495,0.0005794422161427203,0.0028876369213096465,0.0
lightgbm,zone_Mixed-Dry,0.07233492857109454,0.10396222416277714,0.22173177321141335,0.1675008192533445,0.08411780774768461,0.06756308788028967,0.10032042098624681,0.05781533922598725,0.07155738811085201,0.08324446199639879,0.03610175375910453,0.09980119182830334,0.03244356082715814,0.036374191035138295,0.0199981694203419,0.036262101172694024,0.016435062493066026,0.017083502937041996,0.0016098940688665149,0.024808209955215897,0.02382999185884264,0.0032540330180632704,0.009121518737877962,0.0017834474489092187,0.02820593999961563,0.006123963752880365,0.0,0.021067642094763472,0.017757383864270983,0.04814495765994299,0.013380013392596632,0.03925090134888784,0.0014451744129741167,0.0,0.0059696878380492615,0.0
lightgbm,zone_Mixed-Humid,0.1293702713014043,0.05344646887397465,0.2680797414499597,0.2128310030614078,0.05017842460605082,0.12894835776950955,0.04962054625132823,0.02903620492335206,0.0783574310305719,0.08581341798044789,0.042146873256381355,0.08730289998558648,0.08464758500438863,0.038732298118814006,0.011851358324982304,0.0265179077137066,0.04222182694387649,0.008767509686990511,0.0056724613292389375,0.028502362978788227,0.011885829433269829,0.004147035174963256,0.00935204074517881,0.006089580546381145,0.019144646579449726,0.00936854973004269,0.0015286581271767965,0.013236917210678413,0.004187020255021589,0.023746928646707945,0.0052814949186948245,0.008694446888503597,0.008461369026736637,0.011418262600013903,0.0019659257969737677,0.0
xgboost,global,0.33025026321411133,1.474269139606804,0.08482421189546585,0.048575274646282196,0.03486612066626549,0.09084831178188324,0.0480281338095665,0.027708198875188828,0.06333410739898682,0.1090797754295636,0.043783511966466904,0.201351935043931,2.932888983283192,0.04118616506457329,0.047099431005335646,0.05089155212044716,0.11660134635167196,0.025818824826274067,0.17295334812661167,0.014362975023686886,0.006942110601812601,0.10355933372920845,0.03690895065665245,0.07476930064149201,0.05801043286919594,0.05505767792055849,0.004978331271559,0.046338419895619154,0.01717231444490608,0.026863742619752884,0.00874327588826418,0.008046346716582775,0.026449082419276237,0.018944937735795975,0.008850427344441414,0.0
xgboost,zone_Cold_and_Very_Cold,0.048153139650821686,1.9694482536287978,0.07249508053064346,0.08314035832881927,0.04776563122868538,0.11047027260065079,0.10234114527702332,0.05484326183795929,0.045596782118082047,0.19770219906786224,0.1475648134946823,0.4620339497923851,4.4001507088541985,0.05289788544178009,0.09928565635345876,0.036712173372507095,0.10421306352509419,0.041032535722479224,0.1384818529477343,0.015821121633052826,0.01905503123998642,0.04679751379262598,0.024298423901200294,0.06528096858528443,0.06742338091135025,0.11181320273317397,0.00803618598729372,0.05403510178439319,0.031443586805835366,0.03345779329538345,0.01028385292738676,0.009597632102668285,0.044031038880348206,0.07421433925628662,0.027473112335428596,0.0023797359317541122
xgboost,zone_Hot-Dry,0.2763758599758148,0.6126363845542073,0.08904972672462463,0.11365694552659988,0.05440422147512436,0.09457509219646454,0.05639827996492386,0.10867179185152054,0.06171204149723053,0.5405065114609897,0.2874799966812134,0.5486467629671097,2.603503628168255,0.0510578528046608,0.3337429363746196,0.1164812445640564,0.45625773537904024,0.15410943608731031,0.28807713952846825,0.02031509019434452,0.04788970202207565,0.3071782507468015,0.08668828755617142,0.26190024777315557,0.04744049534201622,0.31622827751562,0.0028863565530627966,0.105417670449242,0.16807338409125805,0.09860652685165405,0.024120396003127098,0.016026420518755913,0.010682516731321812,0.036795441061258316,0.007970385253429413,0.0
xgboost,zone_Hot-Humid,0.23438966274261475,0.4949036701582372,0.22018402814865112,0.11003675311803818,0.031693171709775925,0.08720982074737549,0.059440940618515015,0.071222685277462,0.01410375814884901,0.23941794782876968,0.21029256284236908,0.3323772568255663,2.104830850381404,0.050612062215805054,0.26090431422926486,0.048972632735967636,0.2799926206935197,0.10695898975245655,0.1918427362688817,0.028450559824705124,0.031794849783182144,0.2716071145841852,0.036800213158130646,0.1732949437573552,0.047238487750291824,0.19931250484660268,0.0186280757188797,0.07012011669576168,0.16193952225148678,0.04711752384901047,0.009983127936720848,0.008684830740094185,0.03406548872590065,0.04548439010977745,0.0033039712870959193,0.0
xgboost,zone_Marine,0.46106061339378357,0.28917706944048405,0.06715267896652222,0.15590035915374756,0.09019748866558075,0.09146657586097717,0.06823893636465073,0.0738162025809288,0.05425203591585159,0.37907203068607487,0.08811568468809128,0.432842668145895,2.8129353625699878,0.0319940522313118,0.2562016898300499,0.05617465451359749,0.22836105665192008,0.11664760368876159,0.2641611686121905,0.04848024621605873,0.08806601911783218,0.07573631580453366,0.01781800016760826,0.06267347210086882,0.04220070689916611,0.1623368221335113,0.006021575070917606,0.0777868505101651,0.08957790373824537,0.05735110491514206,0.01352168433368206,0.016800517216324806,0.09571965783834457,0.01504599954932928,0.0074692657217383385,0.0
xgboost,zone_Mixed-Dry,0.06781542301177979,0.2538537287618965,0.20177105069160461,0.16385173797607422,0.061009667813777924,0.06592685729265213,0.11215957254171371,0.031327877193689346,0.02099877968430519,0.179427788592875,0.05041861906647682,0.21149167331168428,0.24444405763642862,0.03749711811542511,0.13803457273024833,0.032887209206819534,0.13509129243902862,0.06687748056720011,0.08540874284426536,0.026793338358402252,0.014829101040959358,0.1447648813482374,0.010112224146723747,0.07132704474497586,0.021394478157162666,0.06270920392125845,0.0,0.06335263029905036,0.05827502137981355,0.05714275315403938,0.013593848794698715,0.05841057375073433,0.027209432795643806,0.0,0.010960989457089454,0.0
xgboost,zone_Mixed-Humid,0.1449739634990692,0.6198990673292428,0.1528109312057495,0.1228286549448967,0.07481406629085541,0.08660071343183517,0.04884191229939461,0.03201991692185402,0.0541621595621109,0.11189050361281261,0.08717148005962372,0.2617144286632538,4.09666734142229,0.021900421008467674,0.1059924834407866,0.05919395014643669,0.24678404908627272,0.04903045733226463,0.0904409094946459,0.0178680382668972,0.015854859724640846,0.07585502814617939,0.02143457718193531,0.09051227429881692,0.026467859745025635,0.0755025168764405,0.010859821923077106,0.023770321626216173,0.037078229477629066,0.01856270618736744,0.012680646032094955,0.0070684514939785,0.0353328138589859,0.02857184410095215,0.00678382336627692,0.0
