field_name	field_location	data_type	units	field_description	allowable_enumeration
in.hvac_combined_type	metadata	string		A combination of the HVAC ventilation, heating, and cooling categorizations	DOAS+Zone terminal equipment_GSHP_GSHP|Central Single-zone RTU_District_DX|Central Multi-zone VAV RTU_Electric Resistance_District|DOAS+Zone terminal equipment_WSHP_WSHP|Central Multi-zone VAV RTU_Furnace_DX|DOAS+Zone terminal equipment_Electric Resistance_ACC|DOAS+Zone terminal equipment_District_WCC|Central Multi-zone VAV RTU_District_WCC|Central Single-zone RTU_Furnace_DX|Zone terminal equipment_Electric Resistance_DX|Central Multi-zone VAV RTU_District_ACC|Zone terminal equipment_Boiler _DX|Central Multi-zone VAV RTU_District_DX|Central Multi-zone VAV RTU_Boiler _WCC|Central Single-zone RTU_Electric Resistance_Evaporative Cooling|Residential forced air_Furnace_DX|Central Single-zone RTU_ASHP_ASHP|DOAS+Zone terminal equipment_District_District|DOAS+Zone terminal equipment_District_ACC|DOAS+Zone terminal equipment_Electric Resistance_WCC|Central Single-zone RTU_Boiler _DX|DOAS+Zone terminal equipment_Electric Resistance_District|None_Electric Resistance_None|Central Single-zone RTU_Electric Resistance_DX|DOAS+Zone terminal equipment_Boiler _WCC|Central Multi-zone VAV RTU_District_District|Central Multi-zone VAV RTU_Boiler _District|Central Multi-zone VAV RTU_Electric Resistance_ACC|Central Single-zone RTU_Electric Resistance_District|Central Multi-zone VAV RTU_Boiler _DX|Central Multi-zone VAV RTU_Electric Resistance_WCC|Residential forced air_Furnace_None|Central Multi-zone VAV RTU_Boiler _ACC|DOAS+Zone terminal equipment_ASHP_ASHP|Zone terminal equipment_ASHP_ASHP|DOAS+Zone terminal equipment_Boiler _District|DOAS+Zone terminal equipment_Boiler _ACC|Zone terminal equipment_Furnace_None|Central Multi-zone VAV RTU_Electric Resistance_DX|Central Single-zone RTU_Furnace_Evaporative Cooling|Zone terminal equipment_Furnace_DX
in.hvac_cool_type	metadata	string		A basic categorization of the HVAC cooling type	DX|ASHP|District|WSHP|GSHP|None|ACC|WCC|Evaporative Cooling
in.hvac_heat_type	metadata	string		A basic categorization of the HVAC heating type	ASHP|District|WSHP|GSHP|Furnace|Electric Resistance|Boiler 
in.hvac_night_variability	metadata	string		Specifies the HVAC nighttime hvac operation used in model, which impacts fan and ventialtion behavior during unnoccupied times	night_fancycle_novent|night_fanon_vent|default_nochange|night_fancycle_vent
in.hvac_system_type	metadata	string		Building primary HVAC system type	Direct evap coolers with baseboard electric|PTAC with gas boiler|DOAS with fan coil district chilled water with district hot water|PSZ-HP|PVAV with district hot water reheat|PSZ-AC with electric coil|DOAS with fan coil chiller with boiler|PSZ-AC with gas boiler|DOAS with fan coil air-cooled chiller with district hot water|DOAS with fan coil chiller with baseboard electric|DOAS with fan coil district chilled water with baseboard electric|VAV chiller with PFP boxes|Baseboard electric|VAV district chilled water with district hot water reheat|PVAV with gas boiler reheat|VAV air-cooled chiller with PFP boxes|PSZ-AC district chilled water with electric coil|VAV district chilled water with gas boiler reheat|PTHP|VAV air-cooled chiller with gas boiler reheat|PVAV with PFP boxes|DOAS with VRF|PTAC with gas coil|DOAS with fan coil district chilled water with boiler|Residential forced air furnace|DOAS with water source heat pumps cooling tower with boiler|Gas unit heaters|PVAV with gas heat with electric reheat|VAV district chilled water with PFP boxes|DOAS with water source heat pumps with ground source heat pump|Direct evap coolers with forced air furnace|VAV air-cooled chiller with district hot water reheat|PSZ-AC with district hot water|PSZ-AC with gas coil|DOAS with fan coil air-cooled chiller with baseboard electric|PTAC with electric coil|Residential AC with residential forced air furnace|DOAS with fan coil air-cooled chiller with boiler|VAV chiller with district hot water reheat|DOAS with fan coil chiller with district hot water|VAV chiller with gas boiler reheat
in.hvac_vent_type	metadata	string		A basic categorization of the HVAC ventilation type	DOAS+Zone terminal equipment|Central Single-zone RTU|Zone terminal equipment|Central Multi-zone VAV RTU|None|Residential forced air
in.interior_lighting_generation	metadata	string		The technology used for interior lighting in the building	gen4_led|gen5_led|gen2_t8_halogen|gen1_t12_incandescent|gen3_t5_cfl
in.number_of_stories	metadata	float		Building number of stories above grade	""
in.number_stories	metadata	string		Specifies the number of stories of the building	over_25
in.ownership_type	metadata	string		Type of organization or legal entity that owns the building	leased|owner_occupied|state|local|federal
